dataset_id,seed,budget_id,target_rate,client_id,false_alert_events_per_hour,attacked_stream_events_per_hour,attack_event_recall,attack_event_miss_rate,mean_time_to_detect,median_time_to_detect,percentile_90_time_to_detect,alarm_duty_fraction
gotham,0,false_positive_0p0025,0.0025,02:42:eb:2e:72:00,0.0,0.010092108271219322,1.0,0.0,360.9315028190613,360.9315028190613,360.9315028190613,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:f7:f5:f7:00,0.015088812937947149,0.07167186145524895,1.0,0.0,0.0,0.0,0.0,4.519733640685382e-6
gotham,0,false_positive_0p0025,0.0025,0c:03:36:87:00:00,0.0,0.07202176632876384,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p0025,0.0025,0c:6e:9c:16:00:00,0.0,0.10939481280890005,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p0025,0.0025,0c:bc:fa:c1:00:00,0.04526690552519276,0.49416371865002096,1.0,0.0,0.0,0.0,0.0,6.67077362805744e-6
gotham,0,false_positive_0p0025,0.0025,0c:c5:dc:e9:00:00,27.326569891089246,27.326569891089246,0.0,1.0,0.0,0.0,0.0,0.0006934167345291802
gotham,0,false_positive_0p005,0.005,02:42:08:99:2d:00,0.0,0.020201063460795195,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:20:eb:85:00,0.0,0.030273489000429102,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:2a:62:80:00,0.0,0.03030423915118545,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:2b:40:e0:00,0.0,0.02019988328924068,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:2e:ae:e1:00,0.0,0.10996219993806314,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:32:85:24:00,0.0,0.06060891977135001,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:34:89:3a:00,0.0,0.01009105833192443,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:3a:fa:55:00,0.007544462061530021,0.44889549266103623,1.0,0.0,0.0,0.0,0.0,0.002439629730861368
gotham,0,false_positive_0p005,0.005,02:42:51:3c:2f:00,0.0,0.03027690853398887,1.0,0.0,337.97203397750854,337.97203397750854,337.97203397750854,0.0
gotham,0,false_positive_0p005,0.005,02:42:51:78:60:00,0.0,0.06790100244283372,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:52:d7:fa:00,0.0,0.04904034700790266,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:56:ac:61:00,0.9454419926928986,0.9454419926928986,0.0,1.0,0.0,0.0,0.0,0.00035064934677296556
gotham,0,false_positive_0p005,0.005,02:42:63:6b:70:00,0.47219943382854407,0.47219943382854407,0.0,1.0,0.0,0.0,0.0,0.0006392546646235478
gotham,0,false_positive_0p005,0.005,02:42:78:54:1c:00,0.0,0.01009241011453387,1.0,0.0,341.53757095336914,341.53757095336914,341.53757095336914,0.0
gotham,0,false_positive_0p005,0.005,02:42:82:75:d1:00,0.0,0.03033048061502582,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:8d:87:6d:00,0.0,0.04037058000817888,1.0,0.0,372.93162298202515,372.93162298202515,372.93162298202515,0.0
gotham,0,false_positive_0p005,0.005,02:42:8e:5a:86:00,0.4722763480760347,0.4722763480760347,0.0,1.0,0.0,0.0,0.0,0.00053308363865189
gotham,0,false_positive_0p005,0.005,02:42:a9:11:53:00,0.010090381503765962,0.07063267052636174,1.0,0.0,0.0,0.0,0.0,0.021317607990232402
gotham,0,false_positive_0p005,0.005,02:42:bd:f8:c5:00,0.0,0.03027359470004522,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:c0:ac:38:00,0.010099658171170109,0.020199316342340217,1.0,0.0,0.0,0.0,0.0,0.021324423817499542
gotham,0,false_positive_0p005,0.005,02:42:c1:b7:72:00,0.0,0.02018679049481543,1.0,0.0,397.3609459400177,397.3609459400177,397.3609459400177,0.0
gotham,0,false_positive_0p005,0.005,02:42:c2:7a:05:00,0.0,0.05045999719423911,1.0,0.0,337.84441018104553,337.84441018104553,337.84441018104553,0.0
gotham,0,false_positive_0p005,0.005,02:42:c3:13:3c:00,0.0,0.02019978837296154,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:c5:c1:72:00,0.0,0.040400843911856194,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:cc:db:31:00,0.0,0.09057185958285921,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:cd:90:eb:00,0.0,0.040400834754454246,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:da:1c:50:00,0.0,0.08000003003744213,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:de:51:81:00,0.0,0.010090975369746617,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p005,0.005,02:42:e8:56:10:00,0.0,0.020184620125068418,1.0,0.0,348.7794919013977,348.7794919013977,348.7794919013977,0.0
